,id,text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
143,24778,hài_lòng kì hài_lòng,0,0,0,0,0,0
144,24777,"đóng_gói đẹp giao hàng nhanh_chóng , fan tiki lâu_dài . kì hài_lòng",0,0,0,0,1,0
145,24776,tả không form như quảng_cáo . mặc chút_xíu chảy xệ . : ( không hài_lòng,0,0,0,-1,0,0
148,24773,"hàng giao y hình . đóng_gói cẩn_thận . giao hàng , chu_đáo . cám_ơn tiki ! kì hài_lòng",0,1,0,0,1,1
150,24771,"sản_phẩm tốt , mềm thấm hút . boby hugies giá_thành đắt , . hy_vọng giá tốt oke phẩm yêu",-1,0,0,1,0,0
151,24770,tả thấm hút tương_đối dày . bé tè dày cộm .,0,0,0,-1,0,0
152,24769,"bỉm thấm hút tốt , ủng_hộ kì hài_lòng",0,0,0,1,0,0
153,24768,"sản_phẩm tốt , giảm_giá chương_trình khuyến_mãi .",1,1,0,1,0,0
154,24767,hàng kì hài_lòng,0,0,0,0,1,0
156,24765,tiki giao hàng . săn sale giá rẻ hàng chất_lượng hài_lòng kì hài_lòng,1,0,0,1,1,0
157,24764,giá tốt . mẫu đẹp . tả đóng bao trắng sạch_sẽ gọn_gàng rách bao không lo_ngại . bobby cải_tiến ok . kì hài_lòng,1,0,0,1,1,0
158,24763,bỉm giá_cả hợp_lý giao hàng kì hài_lòng,1,0,0,1,1,0
159,24762,"sản_phẩm_chất_lượng tốt , đóng_gói cẩn_thận giao hàng . shipber nhiệt_tình . ủng_hộ shop lâu_dài kì hài_lòng",0,0,0,1,1,0
160,24761,"lưng quần cực_kì mềm_mại , bé mặc không vết hằn . bỉm phân_biệt thuận_tiện mẹ , êm_ái bé . tiki giao hàng , báo 7 giao 4 đi",0,0,0,1,1,0
161,24760,"mua tã bobby tiki đầu mã giảm_giá 10 % , giá tốt mua một 3 gói . tã sinh , trải kích_thước dừng kích_thước xl. tã thấm hút tốt , thun co_giãn không đau bé . hiện 1 bé 4 miếng ( bé 19 ) . tốt",1,0,0,1,0,0
163,24758,"oke sữa ngon , kì hài_lòng",0,0,0,1,0,0
165,24756,giao hàng cực . chưa 24h giao . sản_phẩm tã chưa chưa kì hài_lòng,0,0,0,0,1,0
166,24755,"bề_mặt tả mềm_mại , thấm hút trung_bình không , huggies bobby lưng thun không hằn chặt , băng_dính tả tiện , bobby thường_xuyên tặng quà thu_hút",0,1,0,1,0,0
167,24754,giao quà tặng không đúng ? không hài_lòng,0,-1,0,0,0,0
168,24753,khuyên chân_thành đừng mua . không hài_lòng,0,0,0,0,0,0
170,24751,hàng oke lắm kì hài_lòng,0,0,0,0,0,0
171,24750,"sản_phẩm tốt , bé toàn sản_phẩm không phàn_nàn , mua bé . sp đóng_gói đẹp giao hàng , tuyêt vời .",0,0,0,1,1,0
172,24749,"sản_phẩm tốt , chất_lượng , giao hàng , đóng_gói đẹp kì hài_lòng",0,0,0,1,1,0
175,24746,"chất_lượng , uy_tín , oke ! kì hài_lòng",0,0,0,1,0,1
176,24745,tã hút hàng hãng ng yên_tâm quần bobby jumbo_ultra,0,0,0,1,1,1
178,24743,"quần_bỉm hơi dày , không mỏng , thấm hút . hài_lòng",0,0,0,-1,0,0
179,24742,"sản_phẩm ok , mùi hơi nồng . khả_năng thấm hút tốt .",0,0,0,-1,0,0
180,24741,"tốt , hài_lòng ủng_hộ lâu_dài nè thanks shop kì hài_lòng",0,0,0,0,0,0
181,24740,sx 11 / 20 ok . tiki lỗi lưu kho xuất hàng không check date . đêm không vón ẩm mông . giá kì hài_lòng,-1,0,0,1,0,0
182,24739,mua giá sale 300k 4 bịch rẻ giá thị_trường_kì hài_lòng,1,0,0,0,0,0
183,24738,"loại tã thấm hút tốt , mặc mùa hè hơi nóng bí . toàn tã tiki rẻ kì hài_lòng",1,0,0,-1,1,0
184,24737,sản_phẩm đúng như mô_tả . dịch_vụ tiki now giao hàng . hài_lòng . .,0,0,0,0,1,1
185,24736,"tiki nhân_viên giao hàng , hàng_không để_ý rọc rách bao , rách tã , không rọc hàng rọc rách bao_bì , rách tã",0,0,0,-1,-1,0
186,24735,hàng oke lắm nha ủng_hộ kì hài_lòng,0,0,0,0,0,0
187,24734,"sản_phẩm tốt , đóng_gói cẩn_thận , giao hàng",0,0,0,1,1,0
189,24732,đóng_gói hàng sơ xài . dính dán tùm_lum vỏ lon . chất_lượng sữa tốt .,0,0,0,1,-1,0
190,24731,hàng chất_lượng tốt . kì hài_lòng,0,0,0,1,0,0
191,24730,hài ảnh . kì hài_lòng,0,0,0,0,0,0
192,24729,"bỉm thấm hút tốt , giá_thành rẻ , giao hàng . lưng thun hơi rộng bỉm",1,0,0,-1,1,0
194,24727,giao hàng . hàng đóng_gói cẩn_thận . tiki trading giao hàng đảm_bảo sản_phẩm tuyệt_vời,0,1,0,0,1,0
196,24725,"tã hạn nhẹ , tầm giá oke . kì hài_lòng",1,0,1,1,0,0
197,24724,"giao hàng . mẫu đẹp . đồ_chơi hình , dễ_thương . hy_vọng tiki đăng đúng hình quà tặng hụt_hẫng . kì hài_lòng",0,1,0,1,1,0
200,24721,hàng đúng hình sản_phẩm . đúng giao hàng,0,0,0,0,1,1
201,24720,"bỉm mùi ghê , không mấy mua shop : ( cộm",0,0,0,-1,0,0
202,24719,"tiki giao hàng kì_vậy , 2 date . dám tin_tưởng mua hàng , tui câu trã kì hài_lòng",0,0,-1,0,0,0
203,24718,tốt mềm_mại loại tã ! ủng_hộ shop !,0,0,0,1,0,0
204,24717,"tả quần đi . tả siêu nhẹ , êm , không mùi . tả form hơi to . bé 9kg , m ok . quà tặng . ngựa pony , balo xinh_xắn . đẹp kì hài_lòng",0,1,0,1,0,0
206,24715,to . rộng_rãi .,0,0,0,0,0,0
207,24714,size l bé 9kí mặc chật nít 🥴 hài_lòng,0,0,0,-1,0,0
209,24712,"bobby , không ưng đổi , chờ sale mua tã kì hài_lòng",0,0,0,0,0,0
211,24710,thiết_kế hẳn loại bỉm . chất_lượng giá_cả ngang k kích_thước mua mom . trải ngiệm oke kì hài_lòng,1,0,0,1,0,0
212,24709,"tã êm dày , tè dày , .",0,0,0,-1,0,0
214,24707,"tã mỏng , mặc ban_ngày , bé tè 1 thay , hao mỏng đc , mông bé không ẩm_ướt , khó_chịu . thấm hút tạm đc , không tốt goon",0,0,1,-1,0,0
215,24706,"mua hàng tiki an_tâm chất_lượng sản_phẩm , ít sản_phẩm tả huggies quà tặng tiki , hơi thất_vọng xíu đầu",0,-1,0,1,0,0
216,24615,đặt_hàng hôm . hôm . tiki kì hài_lòng,0,0,0,0,1,0
218,24613,"hàng chuẩn , tiki giao đóng_gói kỹ_càng . quà tặng kèm vali nhựa , bé đi picnic đi học ! kì hài_lòng",0,1,0,1,1,1
219,24612,tã hg oke tã vón cục cứng cứng,0,0,0,-1,0,0
220,24611,"tả ổn , giá_cả hợp_lý , mùi trà xanh hơi khó_chịu . ổn , giá_cả hợp_lý , mùi tra xanh hơi khó_chịu .",1,0,0,-1,0,0
221,24610,thun lưng cứng trật hút tốt hài_lòng,0,0,0,-1,0,0
222,24609,"sản_phẩm đẹp , thấm hút tốt . tiki giao hàng , dự_kiến giao hàng hàng . đi mua bịch bỉm .",0,0,0,1,-1,0
223,24608,"sữa hơi lạc loại sữa , bé uống chú_ý mua . kì hài_lòng",0,0,0,0,0,0
224,24607,tả miếng dán gói gọn 5 * kì hài_lòng,0,0,0,0,0,0
225,24606,siêu mỏng chưa không sản_phẩm tốt không,0,0,0,0,0,0
226,24605,"mua 2 . hài_lòng , giao hàng , chiều 2 chiều 3 hàng kì hài_lòng",0,0,0,0,1,0
227,24604,"mua 02 hộp khuyến_mãi . tiki giao hàng đúng hạn , đóng_gói cẩn_thận . biệt chất_lượng sữa tốt . phẩm_chất_lượng tốt",0,1,0,1,1,0
228,24603,"2 bọc không loại mua , hàng giao chậm hài_lòng",0,0,0,-1,-1,0
229,24602,"sản_phẩm cũ , túi xước bẩn không ưng lắm",0,0,0,-1,0,0
230,24601,tã thấm hút không tràn hăm mông bé mặc vừa_vặn kì hài_lòng,0,0,1,1,0,0
235,24596,"giá_cả , thấm hút tốt , bé không hăm tã tin_tưởng tiki",1,0,1,1,0,0
236,24595,"chất_lượng tã ok , giao hàng đợt . hàng chậm dự_kiến",0,0,0,1,-1,0
237,24594,giá tốt tốt kì hài_lòng,1,0,0,1,0,0
238,24593,sản_phẩm giá tiền kì hài_lòng,0,0,0,0,0,0
239,24592,"oke , giao hàng phẩm tốt như mua siêu_thị",0,0,0,1,1,0
240,24591,"ưng quà kèm , sữa hạn hợp_lý kì hài_lòng",0,1,1,0,0,0
241,24590,đóng_gói cẩn_thận hàng tốt,0,0,0,1,1,0
246,24585,giao hàng chậm . hài_lòng sản_phẩm kì hài_lòng,0,0,0,1,-1,0
247,24584,hài_lòng sản_phẩm . sp đúng như ảnh . kì hài_lòng,0,0,0,1,0,1
248,24583,mua 3xl giao 2xl . chán không hài_lòng,0,0,0,0,-1,0
251,24580,giao hàng nhanh_chóng,0,0,0,0,1,0
252,24579,"tã tốt , không hăm , giá rẻ chất_lượng . kì hài_lòng",1,0,1,1,0,0
253,24578,"thấm hút tốt , một miếng đêm bé phẩm tốt",0,0,0,1,0,0
254,24577,sản_phẩm đúng chất_lượng giá rẻ giá_bìa tiki giao hàng nhanh_chóng . cám_ơn shop tiki kì hài_lòng,1,0,0,1,1,0
255,24576,tã tốt kì hài_lòng,0,0,0,0,0,0
257,24574,hàng hãng . chất_lượng . mong_tiki chạy chương_trình khuyến_mãi,0,0,0,1,0,1
260,24571,hàng tốt giá rẻ đại_lí . phát_sinh phí hàng cồng_kềnh đóng_gói cẩn_thận trừ giao,1,0,0,1,-1,0
261,24570,"giá rẻ đóng_gói cẩn_thận hạn . ủng_hộ , mua 2 hộp tặng xe bé . ghi xe trị_giá 600k bé xíu",1,1,1,0,1,0
262,24569,hàng tốt hài_lòng sản_phẩm .,0,0,0,0,0,0
263,24568,"chất_lượng tốt , đóng_gói cẩn_thận",0,0,0,1,1,0
264,24567,"sp tốt , đêm bé không ướt kì hài_lòng",0,0,0,1,0,0
265,24566,chương_trình tặng quà thú . giao hàng không . giao hàng . chất_lượng chưa không . quà khuyến_mãi,0,-1,0,0,1,0
267,24564,"hài_lòng sản_phẩm , thoải_mái thích_thú , không khó_chịu mua",0,0,0,1,0,0
268,24563,toàn mua combo 4 bịch 1 phát . thoải_mái . nhân_viên giao hàng nhiệt_tình . tiki đóng_gói . oke,1,0,0,1,1,0
269,24562,đặt_hàng hôm_nay ngày_mai hàng . tiki giao siêu đóng_gói cẩn_thận . quà tặng kèm dễ_thương . date 2021 . mã xác_nhận hàng . cực_kỳ hài_lòng . cám_ơn tiki . kì hài_lòng,0,1,1,0,1,1
272,25077,"kích_thước lớn , combo giá 601k rẻ kì hài_lòng",1,0,0,1,0,0
273,25076,mua bé ngủ trưa . thử ban_đêm thấm hút tốt,0,0,0,1,0,0
275,25074,giao hàng . nhân_viên lịch_sự . bobby tầm trung giá vừa_phải chất_lượng tạm ổn . so_sánh bobby hơi cứng . huggies thử kì hài_lòng,1,1,0,-1,1,0
277,25072,"đóng_gói cẩn_thận , hàng hài_lòng kì hài_lòng",0,0,1,0,1,0
278,25071,sản_phẩm tốt,0,0,0,0,0,0
282,25067,đóng_gói kỹ . giao hàng dự viên nhiệt_tình chu_đáo . kì hài_lòng,0,1,0,1,1,0
283,25066,"sản_phẩm ok , bé , mùi thơm kì hài_lòng",0,0,0,1,0,0
284,25065,"hàng ok , quần lưng chun mềm_mại . 1 giao hàng . 2 mua 2 bịch 5 chưa giao . mua dùm tạm bé . đơn hàng 5 . đơn .",0,0,0,1,-1,0
285,25064,"mua n không săn khuyến_mại . mùa hè , loại bỉm đổi yêu dòng pamper . ổn",0,0,0,0,0,0
286,25063,mua tiki không giao thanh_hóa . không ?,0,0,0,0,0,0
290,25059,"giá tương_đối rẻ nhãn hàng nhập_khẩu , tốt . ủng_hộ hàng việt_👍 kì hài_lòng",1,0,0,1,0,0
291,25058,"giá tốt , tã chất_lượng , hài_lòng ! ủng_hộ tiki kì hài_lòng",1,0,0,1,0,0
292,25057,"bỉm thấm hút kém , bé tè bãi 2 tràn bỉm không hài_lòng",0,0,0,-1,0,0
293,25056,"giao hàng , giá tốt , kì hài_lòng",1,0,0,0,1,0
294,25055,"sản_phẩm tốt , giao hàng không móp méo . giá tốt . 1 đồ_chơi bé tắm 1 vịt xinh , tưởng 1 2 . kì hài_lòng",1,-1,0,1,1,0
295,25054,hàng tốt giá ngon anh_em kì hài_lòng,1,0,0,1,0,0
298,25051,sản_phẩm thoải_mái . giao hàng nhanh_chóng . shiper nhiệt_tình,0,0,0,1,1,0
300,25049,hài_lòng tã pampers kì hài_lòng,0,0,0,0,0,0
301,25048,"bé uống sữa friso nhỏ_bé khoẻ_mạnh cân đều không táo_bón , bé minh ủng_hộ friso kì hài_lòng",0,0,0,0,0,0
302,25047,"hàng , quà không . giao hàng chậm tiki liên_hệ chốt giao . ko giao trể không thông_tin .",0,-1,0,0,-1,0
303,25046,"mua 2 lon lớn tặng 1 , gọi điện bảo 2 lon lớn . khuyến_mãi . không hài_lòng",0,-1,0,0,0,0
305,25044,"tã mềm , thấm hút tốt . kích_thước tã , bé 8kg mặc hơi chật !",0,0,0,-1,0,0
306,25043,hạn_dùng chưa 1 ! mua cửa_hàng sữa hạn 2 sản_xuất 2020 không hài_lòng,0,0,-1,0,0,0
307,25042,"giao hàng đúng hẹn , đóng_gói cẩn_thận . oke",0,0,0,1,1,0
308,25041,"bỉm tốt , đóng_gói cẩn_thận , hài_lòng . mua",0,0,0,1,1,0
309,25040,sản_phẩm tốt sản_phẩm tốt sản_phẩm tốt sản_phẩm tốt kì hài_lòng,0,0,0,0,0,0
310,25039,"hàng kém chất_lượng , tả mỏng cửa_hàng , mặc tí tét hông , không ủng_hộ hàng tệ không hài_lòng",0,0,-1,-1,0,0
311,25038,"giao hàng , đóng_gói cẩn_thận , tốt quần huggies",0,0,0,1,1,0
312,25037,giao hàng đúng . hàng ổn_áp . kì hài_lòng,0,0,0,1,1,0
313,25036,"hàng , giao hàng cực_kì thông_báo 5 hôm hàng hài_lòng kì hài_lòng",0,0,1,0,1,0
315,25034,"tã mềm , mỏng nhẹ , thấm hút tốt . đóng_gói cẩn_thận . vote 5 * kì hài_lòng",0,0,0,1,1,0
316,25033,"sp ổn , phụ_phí cồng_kềnh hơi , 4 gói tả 24k",0,0,0,1,-1,0
317,25032,"tiki giao hàng , dự_kiến giao 2 chủ nhật hàng . hàng chuẩn chất_lượng giá rẻ . kì hài_lòng",1,0,0,1,1,1
318,25031,"hàng tốt , đóng_gói kỹ kì hài_lòng",0,0,0,1,1,0
319,25030,bé không uống lắm,0,0,0,0,0,0
321,25028,sản_phẩm tốt . giá hợp_lí . ủng_hộ shop dài_dài . shop bọc hàng kĩ chút . mua 3 hộp móp méo 3,1,0,0,1,-1,0
322,25027,đóng_gói cẩn đẹp kì hài_lòng,0,1,0,0,1,0
323,25026,tặng tả dán không shop lừa khách_hàng không hài_lòng làm_ăn shop không hài_lòng,0,-1,0,0,0,0
324,25025,sản_phẩm tốt kì hài_lòng,0,0,0,0,0,0
325,25024,tốt đóng_gói cẩn_thận - kì hài_lòng,0,0,0,1,1,0
326,25023,"kh trung_thành huggies bé sinh . , chất_lượng tã đợt cải_tiến tệ , không thấm hút . bé tè tràn . loại tã cũ thấm tốt . không cải_tiến cải lùi . chia_tay huggies ! thất_vọng",0,0,0,-1,0,0
328,25021,"bỉm mềm , tốt , bé . bỉm rộng pamper kích_thước kì hài_lòng",0,0,0,1,0,0
329,25020,"giao đúng hẹn , a ship giao hàng thân_thiện dễ_thương . kì hài_lòng",0,0,0,0,1,0
