,id,cmt,giá,dịch_vụ,ship,hiệu_năng,chính_hãng,cấu_hình,phụ_kiện,other,mẫu_mã
71,18656,giao hàng 9 hàng nhật vỏ móp méo . máy bọc 1 lớp bóng máy mầu xám thành mầu xanh vỏ mầu xám . mắt m máy lớp niêm_phong như bóc . không cảm_giác máy new 100 % . chất_lượng chờ_đợi không hài_lòng !,0,-1,-1,0,-1,0,0,0,-1
73,18654,"máy_đẹp , cấu_hình mạnh , game lướt web đều mượt , shop giao hàng đúng như quảng_cáo , giới_thiệu người_thân bạn_bè ủng_hộ shop ... chi mua hàng shop . 5 *",0,0,0,1,0,1,0,0,1
74,18653,"giao hàng , đúng chủng_loại , chưa test máy tạm_thời oke",0,0,1,0,0,0,0,0,0
75,18652,"shop , điện_thoại ngoại_hình đẹp . pin tốt , tiếc không chụp hình mua . mua điện_thoại shop 2 . shop uy_tín .",0,1,0,0,0,1,0,0,1
76,18651,sản_phẩm oke lắm hài_lòng sản_phẩm tuyệt_vời phục_vụ chu_đáo,0,1,0,0,0,0,0,0,0
77,18650,5 . giao . chất_lượng tiếp,0,0,1,0,0,0,0,0,0
78,18649,"máy đẹp , cấu_hình mạnh_mẽ , game lướt web chạy êm , chức_năng đều ổn_định , pin trâu , hài_lòng , shop phục_vụ tâm , vui_vẻ nhiệt_tình , chuyên_nghiệp , phong_cách phục_vụ shop , giới_thiệu bạn_bè đồng_nghiệp ủng_hộ shop , 5 *",0,1,0,1,0,1,0,0,1
80,18647,"shop tư_vấn nhiệt_tình , giao hàng . bàn_phím hơi chập_chờn không ăn",0,1,1,0,0,0,0,0,0
81,18646,"máy_đẹp , cấu_hình mạnh , game lướt web đều mượt , shop giao hàng đúng như quảng_cáo , giới_thiệu người_thân bạn_bè ủng_hộ shop ... chi mua hàng shop . 5 *",0,0,0,1,0,1,0,0,1
82,18645,"mua bút tặng ốp bảo_vệ cực xịn . shop máy apple care hạn tận 2022 . xịn sò . thử máy chạy êm , sù không niêm_phong nilon máy chuẩn không xước vỏ viền . hơi bùn ipados 14.1 .",0,1,0,1,0,0,1,0,0
83,18644,"mua sản_phẩm shop , máy đẹp lắm , chất_lượng tốt , ứng_dụng hoạt_động bình_ổn , màn_hình cảm_ứng , màu_sắc rực_rỡ , chức_năng cơ_bản đều hoàn_hảo , hài_lòng vừa_ý lắm , nhân_viên shop nhiệt_tình tâm khách_hàng , an_tâm sản_phẩm shop",0,1,0,1,0,1,0,0,1
84,18643,giao . máy như . giới_thiệu bạn_bè,0,0,1,0,0,0,0,0,1
85,18642,tầm giá main hơi bẩn tý to màn_hình thay r . pin chưa đk . tạm_thời 4,1,0,0,0,0,1,0,0,-1
87,18640,điện_thoại cũ trầy góc . mua công_nhân scan hàng tạm .,0,0,0,0,0,0,0,1,0
88,18639,"máy ổn oke , pin hơi .",0,0,0,0,0,-1,0,0,0
90,18637,nghe gọi không mong . sản_phẩm oke,0,0,0,0,0,0,0,1,0
91,18636,ok máy đẹp lỗi youtube coi 1 đoạn quảng_cáo văng,0,0,0,-1,0,0,0,0,1
92,18635,"máy đẹp , hình_thức sang_trọng , chức_năng hoàn_thiện , test sản_phẩm không lỗi , đồng_tiền bát gạo , shop uy_tín giao hàng đúng như quảng_cáo , nhân_viên shop nhiệt_tình , vui_vẻ tâm khách_hàng , chế_độ hậu_mãi rõ_ràng an_tâm sản_phẩm shop",1,1,0,1,0,0,0,0,1
93,18634,giao hàng . chiều hôm . máy_đẹp,0,0,1,0,0,0,0,0,1
95,18632,"shop đóng_gói cẩn_thận , hàng đẹp đúng như mô_tả .",0,0,1,0,0,0,0,0,1
97,18630,"shop thân_thiện giao hàng máy hãng , đầy_đủ phụ_kiện",0,0,1,0,1,0,1,0,0
101,18626,"1 hài_lòng chất_lượng sản_phẩm , giá_thành oke ship . highly nhaaa !",1,0,1,0,0,0,0,0,0
103,18624,hàng đẹp đúng mẫu . mua shop 2 hài_lòng sản_phẩm shop .,0,0,0,0,0,0,0,0,1
106,18621,mua ! dịch_vụ chăm_sóc khách_hàng tận_tâm,1,1,0,0,0,0,0,0,0
107,18620,"hàng nguyên seal . kích_hoạt bảo_hành điện_tử mua . giao hàng hơi , 11.1 16.1 . mua đợt sale 11.1 giá tốt .",1,0,-1,0,1,0,0,0,0
108,18619,hàng ok . đóng_gói đẹp,0,0,1,0,0,0,0,0,0
112,18615,￼ sản_phẩm tốt . hiệu_năng hiệu_ứng cảnh đẹp . test chưa lỗi mua chủ_yếu game game ngon . tốt . perfect,0,0,0,0,0,0,0,1,0
115,18612,"hàng hãng . ok , đợi bữa mua",0,0,0,0,1,0,0,0,0
116,18611,shop giao hàng chất_lượng tốt,0,0,1,0,0,0,0,0,0
117,18610,"sản_phẩm hài_lòng . chăm_sóc chu_đáo nhiệt_tình , ship hàng hoả_tốc .",0,1,1,0,0,0,0,0,0
118,18609,đt kn ngon nyc,0,0,0,0,0,0,0,1,0
119,18608,"máy oke dự_kiến 2 , tội shop bọc chống sốc chưa kỹ , shop 5",0,0,-1,0,0,0,0,0,0
120,18607,shop phục_vụ tốt nha,0,1,0,0,0,0,0,0,0
122,18605,", ok , không , hài_lòng sản_phẩm , shop .",0,0,0,0,0,0,0,1,0
123,18604,"giá rẻ giao hàng . tuyệt_vời . chất_lượng sản_phẩm ok , bảo_hành_chính hãng",1,0,1,0,0,0,0,0,0
125,18602,"chất_lượng đúng quảng_cáo , máy hãng , ứng_dụng hoạt_động hiệu_quả hình cảm_ứng nhạy , màu_sắc_đẹp bắt_mắt , camera chụp hình không chê , hoàn_thiện tốt , shop giao hàng chuẩn hài_lòng lắm , sản_phẩm shop .",0,0,0,1,1,1,0,0,0
128,18599,"shop uy_tín , giao hàng đúng hẹn , sản_phẩm hãng , test máy ổn_định , đặc hàng shop , shop , chúc shop khách_hàng , 5 * 👍",0,1,1,1,1,0,0,0,0
132,18595,"máy ổn , ngoại_hình đẹp . nhìu ap rác mạng",0,0,0,0,0,0,0,0,1
133,18594,"hàng đẹp chất_lượng hãng , nguyên hộp đầy_đủ phụ_kiện shop giá sales 2tr6 như tuyệt_vời",1,0,0,0,1,0,1,0,1
134,18593,máy đẹp cảm_ứng bền chờ trả_lời,0,0,0,1,0,0,0,0,1
135,18592,"shop dễ_thương uy_tín , giao hàng đúng , chất_lượng sản_phẩm như quảng_cáo , test ứng_dụng hoàn_hảo , vừa_ý , hàng tặng quà chị_em mua hàng shop , , , chúc shop thành_công đông ... 5 * .",0,1,1,1,0,0,0,0,0
136,18591,hàng oke shop uy_tín mua,0,0,0,0,0,0,0,1,0
137,18590,"máy đẹp , bề_ngoài 99 % , test máy ứng_dụng êm , chụp hình phim sắt nét , game lướt web oke , shop giao hàng đúng như quảng_cáo , hài_lòng , giới_thiệu bạn_bè người_thân ủng_hộ shop , bình_chọn shop 5 .",0,0,0,1,0,1,0,0,1
138,18589,"giao , đóng_gói cẩn_thận . hàng nguyên seal , kèm hóa_đơn hàng , tặng sạc dự_phòng hãng .",0,1,1,0,1,0,1,0,0
140,18587,máy đẹp ok,0,0,0,0,0,0,0,0,1
141,18586,shop tư_vấn nhiệt bảng ngoại_hình thị màu tốt . ram 2gb game liên_quân mượt trừ hàng chờ hàng . 5 ủng_hộ shop,0,1,-1,1,0,0,0,0,1
142,18585,tốt . pin cực trâu . game cực mượt,0,0,0,1,0,1,0,0,0
143,18584,"máy_ngon , đẹp lắm mua máy chụp đẹp ^ thank shop , máy cũ update ap chạy mượt , cập_nhật android 1",0,0,0,1,0,1,0,0,1
145,18582,"máy_đẹp , mua ông_bà , hộp máy cáp sạc , không tai_nghe ốp",0,0,0,0,0,0,0,0,1
146,18581,ngoại_hình ok . một mĩ không nâng android 10 . khuyên mua hàn . áp hơi yếu nc tạch nhân_viên tư_vấn nhiệt_tình không thái_độ,0,1,0,0,0,0,0,0,1
149,18578,lg v40 đẹp 99.9 shop uy_tín,0,0,0,0,0,0,0,0,1
150,18577,"shop uy_tín , giao hàng đúng hẹn . máy chất_lượng đúng như quảng_cáo , chức_năng hoạt_động tốt . chạy , mạnh , màu_sắc màn_hình nét , ngoại_hình đẹp xịn , hài_lòng lắm . phong_cách làm_việc chuyên_nghiệp . nhanh_chóng . hài_lòng ưng lắm . ủng_hộ shop",0,1,1,1,0,1,0,0,0
153,18574,hàng đẹp . máy ổn nhe shop !,0,0,0,0,0,0,0,0,1
154,18573,giao hàng hơi 6 hàng . hàng nguyên niêm_phong oke chất_lượng chưa,0,0,-1,0,1,0,0,0,0
155,18572,máy cũ ngoại_hình không đẹp . ok . tiền . shop nhiệt_tình uy_tín .,1,1,0,0,0,0,0,0,-1
157,18570,hộp đựng ốp lưng không hề ốp lưng,0,0,0,0,0,0,-1,0,0
158,18569,"hàng , nguyên niêm_phong chưa kích_hoạt . ổn_áp , thời_lượng pin ok .",0,0,0,0,1,1,0,0,1
159,18568,"đặt_hàng màu trắng giao màu xám , shop hàng đúng uy_tín",0,-1,0,0,0,0,0,0,0
161,18566,hàng tuyệt_vời chủ shop thân_thiện tuyệt_vời .,0,1,0,0,0,0,0,0,0
162,18565,"j & t_giao cực . hàng shop đúng chất_lượng , lắm . tưởng dè bự hú_hồn 😂 không uổng công hn ship hcm. ok lắm , hôm mua phụ_huynh một đọc báo . shop tư_vấn nhiệt_tình chế_độ bh ok . shop",0,1,0,0,0,0,0,0,0
163,18564,"mua điện_thoại online , 1 tuần . , sản_phẩm , đẹp , mượt , đầy_đủ tem niêm_phong . , điện_thoại lỗi pin , 1 - 2p mất 1 % pin . không shop giải_quyết không ? shop !",0,0,0,1,0,-1,0,0,1
165,18562,"chuẩn , máy đẹp lắm , ngoại_hình bắt_mắt , cầm đầm , chức_năng ổn_định , ứng_dụng hoạt_động tốt , pin trâu_bò nha anh_em , shop làm_ăn oke , nhân_viên tư_vấn nhiệt_tình , an_tâm sản_phẩm shop , mua ,",0,1,0,1,0,1,0,0,1
166,18561,"giao hàng nhanh_chóng . sp chất_lượng , đúng hình_ảnh mô_tả . hơi pin . chụp ảnh oke tầm giá . không sưu_tập ảnh bts đi kèm .",0,0,1,0,0,-1,0,0,0
168,18559,"giao hàng , gói hàng cẩn_thận . mua giá tốt sale , hoàn xu . cấu_hình máy giá tốt . máy_ảnh không nét lắm đủ nhu_cầu cơ_bản . màu_sắc tươi_sáng , vân quét nhạy .",1,0,1,0,0,1,0,0,0
169,18558,"mua 10 ipad 2 shop . shop nhiệt_tình , uy_tín chất_lượng . ủng_hộ shop lâu_dài",0,1,0,0,0,0,0,0,0
171,18556,màn chấm tầm thằng giao hàng hôi thank shop,0,0,0,0,0,-1,0,0,0
173,18554,"shop xác_nhận đơn , hàng giao hàng đều . đặt_hàng gọn lẹ , shop đóng hàng !",0,0,1,0,0,0,0,0,0
174,18553,trầy mặt,0,0,0,0,0,0,0,0,-1
175,18552,shop đóng hàng đẹp . máy_chất lừ máy mới_tinh nguyên mùi sản_xuất . gửi hàng siêu,0,0,1,0,0,0,0,0,1
176,18551,"hoàn_hảo , máy đẹp lắm , chức_năng hoạt_động chuẩn , màn_hình màu_sắc rực_rỡ như mong_đợi , cảm_ứng mượt_mà , êm_ái , pin trâu_bò nha anh_em , hài_lòng lắm , shop phục_vụ tốt , giao hàng chất_lượng đúng như quảng_cáo , chế_độ hậu_mãi ro ràng , chuẩn lắm anh_em ,",0,1,0,1,0,1,0,0,1
177,18550,sản_phẩm tốt không tai_nghe .,0,0,0,0,0,0,-1,0,0
179,18548,"sản_phẩm tốt , chất_lượng , shop giao hàng đúng hẹn , kiểm_tra ứng_dụng mượt , game , phim , lướt web êm , shop giao hàng đúng như quảng_cáo , giới_thiệu người_thân ủng_hộ shop , duyệt 5 ,",0,0,1,1,0,0,0,0,0
181,18546,màn_hình thay cảm_ứng tạm ổn,0,0,0,0,0,0,0,1,0
182,18545,tốt tầm giá,0,0,0,0,0,0,0,1,0
183,18544,"đẹp , shop giao hàng đúng hẹn , sản_phẩm đóng_gói gọn_gàng , chất_lượng tốt , test chức_năng ổn_định , màn_hình cảm_ứng nhạy , sắc nét , camera đều tuyệt_vời , ứng_dụng hoạt_động chuẩn mạng game lướt web mượt_mà vừa_ý hài_lòng sản ơn shop ,",0,0,1,1,0,1,0,0,1
184,18543,"sản_phẩm tốt , chất_lượng , shop giao hàng đúng hẹn , kiểm_tra ứng_dụng mượt , game , phim , lướt web êm , shop giao hàng đúng như quảng_cáo , giới_thiệu người_thân ủng_hộ shop , duyệt 5 ,",0,0,1,1,0,0,0,0,0
185,18542,sp oke máy đẹp đóng_gói cẩn_thận shop nhiệt_tình giao hàng,0,1,1,0,0,0,0,0,1
186,18541,"shop nhiệt_tình . ban_đầu_máy lỗi , shop uy_tín đổi 1 máy , đẹp cũ , ổn_định . shop . chúc shop buôn may đắt .",0,1,0,1,0,0,0,0,0
188,18539,"điện_thoại tốt , máy nguyên seal , hàng hãng , shop tư_vấn nhiệt_tình giao hàng",0,1,1,0,1,0,0,0,0
189,18538,"shop uy_tín giao hàng đúng như quảng_cáo đúng hẹn , bề_ngoài 99 % , test ứng_dụng êm , phim chụp hình sắt nét , pin trâu , lướt web , , game sướng , vừa_ý , đơn hàng , chúc shop thành_công khách_hàng nửa ,",0,0,1,1,0,1,0,0,1
190,18537,"máy đẹp , giao hàng , kết_nối hơi chậm . xài lâu_dài chưa 🤣 . 5sao",0,0,1,0,0,0,0,0,1
192,18535,"điện_thoại 1 tắt , tiếp tắt , chất_lượng không_thể diễn_tả",0,0,0,0,0,0,0,1,0
193,18534,giao hàng bù chủ shop nhiệt_tình chất_lượng sản_phẩm tốt mua shop nha uy,0,1,-1,0,0,0,0,0,0
196,18531,"vãi chưởng điện_thoại đen , chat màu đen , xong shop vân vân màu hồng : v xong chụp máy_cái máy tui không , tui lạy máy chà 😂 🤣 đúng hàng ( hàng cũ ) .",0,-1,0,0,0,0,0,0,0
197,18530,"shop uy_tín giao hàng đúng hẹn , chất_lượng máy tốt , đúng như shop quảng_cáo , giá_cả hợp_lý , chức_năng máy hoạt_động ổn_định , nhân_viên hàng tâm khách_hàng , chế_độ hậu_mãi rõ_ràng , an_tâm sản_phẩm ủng_hộ shop ,",1,1,1,1,0,0,0,0,0
198,18529,"10 shop , shop hàng tâm tầm nhiệt_tình , hàng nguyên tem đóng_gói cẩn_thận shop",0,1,1,0,1,0,0,0,0
200,18527,"shop tư_vấn trả_lời nhiệt_tình , sản_phẩm nguyên seal , màu trắng đẹp , chờ cài tiếng việt , ổn , mong tốt không lỗi_lầm , shop < 3",0,1,0,0,1,0,0,0,1
202,18525,"màn_hình cam chút hình_ảnh trung đơ , đóng_gói sản_phẩm tốt nhiệt_tình",0,1,1,-1,0,-1,0,0,0
203,18524,"chất_lượng sản_phẩm tốt , bề_ngoài ứng_dụng chạy êm mạnh_mẽ , quay_phim chụp hình sắt sản_phẩm không lỗi , hài_lòng , shop giao hàng đúng như quảng_cáo , bình_chọn 5 .",0,0,0,1,0,1,0,0,1
204,18523,"máy hãng rẻ đẹp , pin trâu",1,0,0,0,1,1,0,0,1
207,18520,"đúng như shop quảng_bá , sản_phẩm đẹp , chất_lượng không chê , hoàn_thiện , shop uy_tín giao hàng đúng hẹn sản_phẩm đúng hàng hãng , hài_lòng vừa_ý , an_tâm sản_phẩm shop shopee , shop 5",0,0,1,0,1,0,0,0,1
208,18519,"fan công_nhận máy samsung thiết_kế cực đẹp , máy mượt không 1 lỗi . đều ổn , camera chụp ảnh tuyệt_vời , thiết_kế tràn viền đẹp , bắt_mắt , chảnh , màu_sắc màn_hình sắc nét tuyệt đẹp . game cực_kỳ mượt , chấp game màn_hình rộng . sản phút",0,0,0,1,0,1,0,0,1
209,18518,"máy_nguyên seal , hãng , ủng_hộ shop tiếp 💥",0,0,0,0,1,0,0,0,0
210,18517,shop hàng gói hàng cẩn_thận chất_lượng tuyệt_vời,0,0,1,0,0,0,0,0,0
211,18516,"đẹp , shop , sản_phẩm_chất_lượng đúng như quảng_cáo , chức_năng cơ_bản ổn_định , màn_hình đẹp cảm_ứng nhạy , lướt êm_ái , cấu_hình mạnh_mẽ , đồng_tiền , giới_thiệu bạn_bè người_thân ủng_hộ shop ,",1,0,0,1,0,1,0,0,1
212,18515,điện_thoại đẹp nha mua kính đẹp vỏ xấu,0,0,0,0,0,0,0,0,1
214,18513,"máy_đẹp , pin cầm , ngon , tặng bao da sạc . máy cũ ngon lắm , in tờ hướng_dẫn mem ipad .",0,0,0,0,0,1,1,0,1
217,18453,"máy_đẹp , shop tư_vấn nhiệt_tình",0,1,0,0,0,0,0,0,1
218,18452,"máy oke shop không giao đủ phụ_kiện như cam_kết . trả_lời nhắn qua_loa chiếu_lệ , không nhiệt_tình đi trọng_tâm câu khách_hàng . cân_nhắc giao_dịch .",0,-1,0,0,0,0,-1,0,0
221,18449,máy_ngon tầm giá . pin trâu . youtube 3 không pin . loa to nghe nhạc ngon .,1,0,0,0,0,1,0,0,0
222,18448,hàng tốt đầy_đủ phụ_kiện máy,0,0,0,0,0,0,1,0,1
223,18447,điện_thoại mua 10 trục_trặc liên_hệ shop nhắn_tin không trả_lời . phục_vụ thái_độ kém . hàng không sdt liên_lạc . thẻ bảo_hành cg chẳng in sdt cửa_hàng 😡,0,-1,0,0,0,0,0,0,0
224,18446,"đẹp , shop , sản_phẩm_chất_lượng đúng như quảng_cáo , chức_năng cơ_bản ổn_định , màn_hình đẹp cảm_ứng nhạy , lướt êm_ái , cấu_hình mạnh_mẽ , đồng_tiền , giới_thiệu bạn_bè người_thân ủng_hộ shop ,",1,0,0,1,0,1,0,0,1
226,18444,"điện_thoại ful hộp siêu đẹp , shop lắm , ủng_hộ tiếp",0,0,0,0,0,0,0,0,1
227,18443,"sản_phẩm , thử phản_hồi sản_phẩm như",0,0,0,0,0,0,0,1,0
228,18442,hàng chưa oke đóng_gói sản_phẩm giao hàng ảnh video tính_chất minh_họa,0,0,1,0,0,0,0,0,1
